task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T2_frozen_specificity,phase_sched|gbm,TW:China,TW:Venezuela,0.935,0.9214,0.9483,1030,223
T2_frozen_specificity,phase_sched|gbm,TW:China,TW:GRU,0.8324,0.7853,0.8758,1030,30
T2_frozen_specificity,action|lr,TW:IRA,TW:Iran,0.747,0.701,0.792,875,148
T2_frozen_specificity,action|lr,TW:IRA,TW:Venezuela,0.7325,0.6976,0.7685,875,223
T2_frozen_specificity,action|lr,TW:IRA,TW:China,0.8074,0.7884,0.8268,875,1030
T2_frozen_specificity,action|lr,TW:IRA,TW:GRU,0.4958,0.4215,0.5741,875,30
T2_frozen_specificity,action|lr,TW:Iran,TW:IRA,0.2775,0.2304,0.3317,148,875
T2_frozen_specificity,action|lr,TW:Iran,TW:Venezuela,0.4661,0.4134,0.5221,148,223
T2_frozen_specificity,action|lr,TW:Iran,TW:China,0.604,0.5642,0.6448,148,1030
T2_frozen_specificity,action|lr,TW:Iran,TW:GRU,0.2209,0.1514,0.3032,148,30
T2_frozen_specificity,action|lr,TW:Venezuela,TW:IRA,0.2749,0.2418,0.3119,223,875
T2_frozen_specificity,action|lr,TW:Venezuela,TW:Iran,0.5477,0.4922,0.609,223,148
T2_frozen_specificity,action|lr,TW:Venezuela,TW:China,0.6498,0.6173,0.6822,223,1030
T2_frozen_specificity,action|lr,TW:Venezuela,TW:GRU,0.2277,0.1501,0.3158,223,30
T2_frozen_specificity,action|lr,TW:China,TW:IRA,0.3845,0.3575,0.4122,1030,875
T2_frozen_specificity,action|lr,TW:China,TW:Iran,0.5735,0.5201,0.633,1030,148
T2_frozen_specificity,action|lr,TW:China,TW:Venezuela,0.5676,0.5222,0.6102,1030,223
T2_frozen_specificity,action|lr,TW:China,TW:GRU,0.2129,0.1561,0.2883,1030,30
T2_frozen_specificity,action|gbm,TW:IRA,TW:Iran,0.7637,0.7112,0.8173,875,148
T2_frozen_specificity,action|gbm,TW:IRA,TW:Venezuela,0.7191,0.6711,0.7667,875,223
T2_frozen_specificity,action|gbm,TW:IRA,TW:China,0.8123,0.7917,0.8314,875,1030
T2_frozen_specificity,action|gbm,TW:IRA,TW:GRU,0.5365,0.4317,0.6289,875,30
T2_frozen_specificity,action|gbm,TW:Iran,TW:IRA,0.3358,0.2831,0.3849,148,875
T2_frozen_specificity,action|gbm,TW:Iran,TW:Venezuela,0.5567,0.4937,0.6133,148,223
T2_frozen_specificity,action|gbm,TW:Iran,TW:China,0.6311,0.593,0.6731,148,1030
T2_frozen_specificity,action|gbm,TW:Iran,TW:GRU,0.3581,0.2413,0.4651,148,30
T2_frozen_specificity,action|gbm,TW:Venezuela,TW:IRA,0.3659,0.3189,0.414,223,875
T2_frozen_specificity,action|gbm,TW:Venezuela,TW:Iran,0.577,0.5167,0.6359,223,148
T2_frozen_specificity,action|gbm,TW:Venezuela,TW:China,0.6523,0.6121,0.6907,223,1030
T2_frozen_specificity,action|gbm,TW:Venezuela,TW:GRU,0.4021,0.3236,0.4785,223,30
T2_frozen_specificity,action|gbm,TW:China,TW:IRA,0.383,0.3562,0.4089,1030,875
T2_frozen_specificity,action|gbm,TW:China,TW:Iran,0.5895,0.5359,0.6406,1030,148
T2_frozen_specificity,action|gbm,TW:China,TW:Venezuela,0.5728,0.5298,0.6169,1030,223
T2_frozen_specificity,action|gbm,TW:China,TW:GRU,0.2865,0.1923,0.3841,1030,30
T2_frozen_specificity,policy|llr,TW:IRA,TW:Iran,0.794,0.7564,0.8373,875,148
T2_frozen_specificity,policy|llr,TW:IRA,TW:Venezuela,0.8034,0.7645,0.8357,875,223
T2_frozen_specificity,policy|llr,TW:IRA,TW:China,0.6417,0.6168,0.666,875,1030
T2_frozen_specificity,policy|llr,TW:IRA,TW:GRU,0.7938,0.7246,0.8678,875,30
T2_frozen_specificity,policy|llr,TW:Iran,TW:IRA,0.2926,0.2554,0.3329,148,875
T2_frozen_specificity,policy|llr,TW:Iran,TW:Venezuela,0.4986,0.4368,0.5618,148,223
T2_frozen_specificity,policy|llr,TW:Iran,TW:China,0.307,0.2616,0.3569,148,1030
T2_frozen_specificity,policy|llr,TW:Iran,TW:GRU,0.4725,0.3619,0.575,148,30
T2_frozen_specificity,policy|llr,TW:Venezuela,TW:IRA,0.2435,0.2122,0.2756,223,875
T2_frozen_specificity,policy|llr,TW:Venezuela,TW:Iran,0.5595,0.4932,0.628,223,148
T2_frozen_specificity,policy|llr,TW:Venezuela,TW:China,0.303,0.2653,0.3429,223,1030
T2_frozen_specificity,policy|llr,TW:Venezuela,TW:GRU,0.5015,0.3995,0.619,223,30
T2_frozen_specificity,policy|llr,TW:China,TW:IRA,0.4304,0.4029,0.4562,1030,875
T2_frozen_specificity,policy|llr,TW:China,TW:Iran,0.7381,0.6855,0.7851,1030,148
T2_frozen_specificity,policy|llr,TW:China,TW:Venezuela,0.7509,0.7135,0.792,1030,223
T2_frozen_specificity,policy|llr,TW:China,TW:GRU,0.7419,0.6481,0.8241,1030,30
T3_supervised_pairwise,phase|lr,TW:IRA,TW:Iran,0.9084,0.8711,0.9364,875,148
T3_supervised_pairwise,phase|lr,TW:IRA,TW:Venezuela,0.9238,0.9046,0.9424,875,223
T3_supervised_pairwise,phase|lr,TW:IRA,TW:China,0.9581,0.9493,0.9659,875,1030
T3_supervised_pairwise,phase|lr,TW:Iran,TW:IRA,0.9084,0.8807,0.9346,148,875
T3_supervised_pairwise,phase|lr,TW:Iran,TW:Venezuela,0.9587,0.9306,0.9811,148,223
T3_supervised_pairwise,phase|lr,TW:Iran,TW:China,0.968,0.9544,0.9805,148,1030
T3_supervised_pairwise,phase|lr,TW:Venezuela,TW:IRA,0.9238,0.9031,0.9421,223,875
T3_supervised_pairwise,phase|lr,TW:Venezuela,TW:Iran,0.9587,0.9282,0.9819,223,148
T3_supervised_pairwise,phase|lr,TW:Venezuela,TW:China,0.9703,0.961,0.9778,223,1030
T3_supervised_pairwise,phase|lr,TW:China,TW:IRA,0.9581,0.9491,0.9666,1030,875
T3_supervised_pairwise,phase|lr,TW:China,TW:Iran,0.968,0.9522,0.9805,1030,148
T3_supervised_pairwise,phase|lr,TW:China,TW:Venezuela,0.9703,0.9616,0.9782,1030,223
T3_supervised_pairwise,phase|gbm,TW:IRA,TW:Iran,0.9501,0.9288,0.9686,875,148
T3_supervised_pairwise,phase|gbm,TW:IRA,TW:Venezuela,0.9745,0.962,0.9857,875,223
T3_supervised_pairwise,phase|gbm,TW:IRA,TW:China,0.983,0.9771,0.9875,875,1030
T3_supervised_pairwise,phase|gbm,TW:Iran,TW:IRA,0.9501,0.9299,0.9682,148,875
T3_supervised_pairwise,phase|gbm,TW:Iran,TW:Venezuela,0.9964,0.9934,0.9989,148,223
T3_supervised_pairwise,phase|gbm,TW:Iran,TW:China,0.9813,0.9701,0.9896,148,1030
T3_supervised_pairwise,phase|gbm,TW:Venezuela,TW:IRA,0.9745,0.9605,0.9853,223,875
T3_supervised_pairwise,phase|gbm,TW:Venezuela,TW:Iran,0.9964,0.9927,0.9989,223,148
T3_supervised_pairwise,phase|gbm,TW:Venezuela,TW:China,0.9852,0.9802,0.9898,223,1030
T3_supervised_pairwise,phase|gbm,TW:China,TW:IRA,0.983,0.9784,0.9879,1030,875
T3_supervised_pairwise,phase|gbm,TW:China,TW:Iran,0.9813,0.9695,0.9896,1030,148
T3_supervised_pairwise,phase|gbm,TW:China,TW:Venezuela,0.9852,0.9799,0.9901,1030,223
T3_supervised_pairwise,phase_sched|lr,TW:IRA,TW:Iran,0.9149,0.883,0.9453,875,148
T3_supervised_pairwise,phase_sched|lr,TW:IRA,TW:Venezuela,0.9413,0.9244,0.9577,875,223
T3_supervised_pairwise,phase_sched|lr,TW:IRA,TW:China,0.9584,0.9488,0.9671,875,1030
T3_supervised_pairwise,phase_sched|lr,TW:Iran,TW:IRA,0.9149,0.88,0.9433,148,875
T3_supervised_pairwise,phase_sched|lr,TW:Iran,TW:Venezuela,0.9658,0.9412,0.9871,148,223
T3_supervised_pairwise,phase_sched|lr,TW:Iran,TW:China,0.9728,0.9617,0.9838,148,1030
T3_supervised_pairwise,phase_sched|lr,TW:Venezuela,TW:IRA,0.9413,0.923,0.9576,223,875
T3_supervised_pairwise,phase_sched|lr,TW:Venezuela,TW:Iran,0.9658,0.9427,0.9862,223,148
T3_supervised_pairwise,phase_sched|lr,TW:Venezuela,TW:China,0.9745,0.966,0.9817,223,1030
T3_supervised_pairwise,phase_sched|lr,TW:China,TW:IRA,0.9584,0.9497,0.9672,1030,875
T3_supervised_pairwise,phase_sched|lr,TW:China,TW:Iran,0.9728,0.9592,0.9831,1030,148
T3_supervised_pairwise,phase_sched|lr,TW:China,TW:Venezuela,0.9745,0.9671,0.9819,1030,223
T3_supervised_pairwise,phase_sched|gbm,TW:IRA,TW:Iran,0.9634,0.948,0.9784,875,148
T3_supervised_pairwise,phase_sched|gbm,TW:IRA,TW:Venezuela,0.9793,0.9678,0.9871,875,223
T3_supervised_pairwise,phase_sched|gbm,TW:IRA,TW:China,0.9853,0.98,0.9894,875,1030
T3_supervised_pairwise,phase_sched|gbm,TW:Iran,TW:IRA,0.9634,0.9449,0.9778,148,875
T3_supervised_pairwise,phase_sched|gbm,TW:Iran,TW:Venezuela,0.9958,0.9916,0.9991,148,223
T3_supervised_pairwise,phase_sched|gbm,TW:Iran,TW:China,0.9854,0.978,0.9919,148,1030
T3_supervised_pairwise,phase_sched|gbm,TW:Venezuela,TW:IRA,0.9793,0.9677,0.9877,223,875
T3_supervised_pairwise,phase_sched|gbm,TW:Venezuela,TW:Iran,0.9958,0.9912,0.9991,223,148
T3_supervised_pairwise,phase_sched|gbm,TW:Venezuela,TW:China,0.987,0.9822,0.9914,223,1030
T3_supervised_pairwise,phase_sched|gbm,TW:China,TW:IRA,0.9853,0.9806,0.9895,1030,875
T3_supervised_pairwise,phase_sched|gbm,TW:China,TW:Iran,0.9854,0.9768,0.9912,1030,148
T3_supervised_pairwise,phase_sched|gbm,TW:China,TW:Venezuela,0.987,0.9818,0.9913,1030,223
T3_supervised_pairwise,action|lr,TW:IRA,TW:Iran,0.748,0.7009,0.7945,875,148
T3_supervised_pairwise,action|lr,TW:IRA,TW:Venezuela,0.7311,0.6957,0.7685,875,223
T3_supervised_pairwise,action|lr,TW:IRA,TW:China,0.8182,0.7988,0.836,875,1030
T3_supervised_pairwise,action|lr,TW:Iran,TW:IRA,0.748,0.7004,0.796,148,875
T3_supervised_pairwise,action|lr,TW:Iran,TW:Venezuela,0.5425,0.4795,0.5993,148,223
T3_supervised_pairwise,action|lr,TW:Iran,TW:China,0.6858,0.6377,0.7297,148,1030
T3_supervised_pairwise,action|lr,TW:Venezuela,TW:IRA,0.7311,0.6921,0.7652,223,875
T3_supervised_pairwise,action|lr,TW:Venezuela,TW:Iran,0.5425,0.4773,0.6045,223,148
T3_supervised_pairwise,action|lr,TW:Venezuela,TW:China,0.6858,0.6532,0.7182,223,1030
T3_supervised_pairwise,action|lr,TW:China,TW:IRA,0.8182,0.799,0.8381,1030,875
T3_supervised_pairwise,action|lr,TW:China,TW:Iran,0.6858,0.64,0.7273,1030,148
T3_supervised_pairwise,action|lr,TW:China,TW:Venezuela,0.6858,0.6491,0.7188,1030,223
T3_supervised_pairwise,action|gbm,TW:IRA,TW:Iran,0.8149,0.7723,0.8575,875,148
T3_supervised_pairwise,action|gbm,TW:IRA,TW:Venezuela,0.8117,0.7831,0.8384,875,223
T3_supervised_pairwise,action|gbm,TW:IRA,TW:China,0.8757,0.86,0.8907,875,1030
T3_supervised_pairwise,action|gbm,TW:Iran,TW:IRA,0.8149,0.7733,0.8552,148,875
T3_supervised_pairwise,action|gbm,TW:Iran,TW:Venezuela,0.7208,0.6716,0.7702,148,223
T3_supervised_pairwise,action|gbm,TW:Iran,TW:China,0.7541,0.7171,0.7908,148,1030
T3_supervised_pairwise,action|gbm,TW:Venezuela,TW:IRA,0.8117,0.7837,0.8458,223,875
T3_supervised_pairwise,action|gbm,TW:Venezuela,TW:Iran,0.7208,0.6729,0.768,223,148
T3_supervised_pairwise,action|gbm,TW:Venezuela,TW:China,0.7743,0.7411,0.8054,223,1030
T3_supervised_pairwise,action|gbm,TW:China,TW:IRA,0.8757,0.8603,0.8903,1030,875
T3_supervised_pairwise,action|gbm,TW:China,TW:Iran,0.7541,0.7142,0.7942,1030,148
T3_supervised_pairwise,action|gbm,TW:China,TW:Venezuela,0.7743,0.7417,0.8064,1030,223
T3_supervised_pairwise,policy|llr,TW:IRA,TW:Iran,0.8374,0.7992,0.8757,875,148
T3_supervised_pairwise,policy|llr,TW:IRA,TW:Venezuela,0.9788,0.9689,0.9872,875,223
T3_supervised_pairwise,policy|llr,TW:IRA,TW:China,0.9775,0.9718,0.9828,875,1030
T3_supervised_pairwise,policy|llr,TW:Iran,TW:IRA,0.8374,0.7982,0.8734,148,875
T3_supervised_pairwise,policy|llr,TW:Iran,TW:Venezuela,0.8031,0.7582,0.8462,148,223
T3_supervised_pairwise,policy|llr,TW:Iran,TW:China,0.8749,0.844,0.9038,148,1030
T3_supervised_pairwise,policy|llr,TW:Venezuela,TW:IRA,0.9788,0.9687,0.9878,223,875
T3_supervised_pairwise,policy|llr,TW:Venezuela,TW:Iran,0.8031,0.7543,0.8523,223,148
T3_supervised_pairwise,policy|llr,TW:Venezuela,TW:China,0.9658,0.9557,0.9747,223,1030
T3_supervised_pairwise,policy|llr,TW:China,TW:IRA,0.9775,0.9722,0.9828,1030,875
T3_supervised_pairwise,policy|llr,TW:China,TW:Iran,0.8749,0.841,0.9047,1030,148
T3_supervised_pairwise,policy|llr,TW:China,TW:Venezuela,0.9658,0.9557,0.975,1030,223
