task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T1_frozen_vs_reference,phase|gbm,TW:China,TW:Venezuela,0.6704,0.6312,0.7148,223,523
T1_frozen_vs_reference,phase|gbm,TW:China,TW:China,0.981,0.9756,0.9863,1030,523
T1_frozen_vs_reference,phase|gbm,TW:China,TW:GRU,0.9462,0.9154,0.9706,30,523
T1_frozen_vs_reference,phase|gbm,TW:China,RD:IRA|matched,0.7408,0.6833,0.8029,96,168
T1_frozen_vs_reference,phase|gbm,TW:China,RD:IRA|unmatched,0.7032,0.6437,0.7583,96,643
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,TW:IRA,0.9196,0.9053,0.9318,875,523
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,TW:Iran,0.849,0.8089,0.8846,148,523
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,TW:Venezuela,0.7346,0.6917,0.7693,223,523
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,TW:China,0.7634,0.741,0.7876,1030,523
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,TW:GRU,0.9262,0.8737,0.9687,30,523
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,RD:IRA|matched,0.8604,0.816,0.9004,96,168
T1_frozen_vs_reference,phase_sched|lr,TW:IRA,RD:IRA|unmatched,0.8524,0.81,0.8932,96,643
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,TW:IRA,0.8437,0.8208,0.8636,875,523
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,TW:Iran,0.9487,0.9297,0.965,148,523
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,TW:Venezuela,0.6532,0.6049,0.6971,223,523
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,TW:China,0.6629,0.6366,0.6901,1030,523
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,TW:GRU,0.8992,0.8271,0.9536,30,523
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,RD:IRA|matched,0.8526,0.803,0.9026,96,168
T1_frozen_vs_reference,phase_sched|lr,TW:Iran,RD:IRA|unmatched,0.8718,0.8337,0.9134,96,643
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,TW:IRA,0.5583,0.531,0.5871,875,523
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,TW:Iran,0.3234,0.2664,0.387,148,523
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,TW:Venezuela,0.855,0.8238,0.8851,223,523
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,TW:China,0.4862,0.4583,0.5152,1030,523
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,TW:GRU,0.225,0.1411,0.3112,30,523
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,RD:IRA|matched,0.525,0.4527,0.608,96,168
T1_frozen_vs_reference,phase_sched|lr,TW:Venezuela,RD:IRA|unmatched,0.4297,0.3628,0.4969,96,643
T1_frozen_vs_reference,phase_sched|lr,TW:China,TW:IRA,0.8025,0.7782,0.8237,875,523
T1_frozen_vs_reference,phase_sched|lr,TW:China,TW:Iran,0.7901,0.7423,0.8448,148,523
T1_frozen_vs_reference,phase_sched|lr,TW:China,TW:Venezuela,0.5155,0.4729,0.5637,223,523
T1_frozen_vs_reference,phase_sched|lr,TW:China,TW:China,0.9444,0.933,0.9547,1030,523
T1_frozen_vs_reference,phase_sched|lr,TW:China,TW:GRU,0.8955,0.8081,0.9686,30,523
T1_frozen_vs_reference,phase_sched|lr,TW:China,RD:IRA|matched,0.7755,0.7186,0.8271,96,168
T1_frozen_vs_reference,phase_sched|lr,TW:China,RD:IRA|unmatched,0.8005,0.7444,0.8485,96,643
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,TW:IRA,0.9877,0.9824,0.9919,875,523
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,TW:Iran,0.8945,0.8613,0.9244,148,523
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,TW:Venezuela,0.8892,0.864,0.9085,223,523
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,TW:China,0.9079,0.8914,0.9224,1030,523
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,TW:GRU,0.942,0.908,0.9717,30,523
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,RD:IRA|matched,0.9,0.854,0.9383,96,168
T1_frozen_vs_reference,phase_sched|gbm,TW:IRA,RD:IRA|unmatched,0.9177,0.8828,0.948,96,643
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,TW:IRA,0.9168,0.9025,0.9322,875,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,TW:Iran,0.9737,0.961,0.9834,148,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,TW:Venezuela,0.7938,0.7598,0.8285,223,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,TW:China,0.9104,0.8935,0.9246,1030,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,TW:GRU,0.9738,0.9505,0.9902,30,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,RD:IRA|matched,0.8163,0.7595,0.8631,96,168
T1_frozen_vs_reference,phase_sched|gbm,TW:Iran,RD:IRA|unmatched,0.8875,0.854,0.9201,96,643
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,TW:IRA,0.858,0.8391,0.8752,875,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,TW:Iran,0.5958,0.5439,0.6568,148,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,TW:Venezuela,0.9737,0.9593,0.985,223,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,TW:China,0.9029,0.886,0.9177,1030,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,TW:GRU,0.7887,0.7054,0.8773,30,523
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,RD:IRA|matched,0.5659,0.4957,0.6383,96,168
T1_frozen_vs_reference,phase_sched|gbm,TW:Venezuela,RD:IRA|unmatched,0.5631,0.5023,0.6194,96,643
T1_frozen_vs_reference,phase_sched|gbm,TW:China,TW:IRA,0.9379,0.9235,0.9496,875,523
T1_frozen_vs_reference,phase_sched|gbm,TW:China,TW:Iran,0.9143,0.8916,0.9356,148,523
T1_frozen_vs_reference,phase_sched|gbm,TW:China,TW:Venezuela,0.8105,0.776,0.846,223,523
T1_frozen_vs_reference,phase_sched|gbm,TW:China,TW:China,0.9879,0.9842,0.9912,1030,523
T1_frozen_vs_reference,phase_sched|gbm,TW:China,TW:GRU,0.9467,0.9111,0.9754,30,523
T1_frozen_vs_reference,phase_sched|gbm,TW:China,RD:IRA|matched,0.7236,0.657,0.783,96,168
T1_frozen_vs_reference,phase_sched|gbm,TW:China,RD:IRA|unmatched,0.8208,0.7734,0.8673,96,643
T1_frozen_vs_reference,action|lr,TW:IRA,TW:IRA,0.9236,0.9091,0.9375,875,523
T1_frozen_vs_reference,action|lr,TW:IRA,TW:Iran,0.6924,0.6432,0.7385,148,523
T1_frozen_vs_reference,action|lr,TW:IRA,TW:Venezuela,0.7467,0.7083,0.7837,223,523
T1_frozen_vs_reference,action|lr,TW:IRA,TW:China,0.5063,0.4774,0.5325,1030,523
T1_frozen_vs_reference,action|lr,TW:IRA,TW:GRU,0.9233,0.845,0.9876,30,523
T1_frozen_vs_reference,action|lr,TW:IRA,RD:IRA|matched,0.9439,0.9188,0.9686,96,168
T1_frozen_vs_reference,action|lr,TW:IRA,RD:IRA|unmatched,0.9734,0.9604,0.9852,96,643
T1_frozen_vs_reference,action|lr,TW:Iran,TW:IRA,0.8596,0.8395,0.8787,875,523
T1_frozen_vs_reference,action|lr,TW:Iran,TW:Iran,0.6192,0.5605,0.6745,148,523
T1_frozen_vs_reference,action|lr,TW:Iran,TW:Venezuela,0.6781,0.6354,0.7177,223,523
T1_frozen_vs_reference,action|lr,TW:Iran,TW:China,0.4926,0.4644,0.5242,1030,523
T1_frozen_vs_reference,action|lr,TW:Iran,TW:GRU,0.9363,0.8474,0.9913,30,523
T1_frozen_vs_reference,action|lr,TW:Iran,RD:IRA|matched,0.9439,0.9141,0.9663,96,168
T1_frozen_vs_reference,action|lr,TW:Iran,RD:IRA|unmatched,0.9734,0.9593,0.9849,96,643
T1_frozen_vs_reference,action|lr,TW:Venezuela,TW:IRA,0.9015,0.8872,0.9161,875,523
T1_frozen_vs_reference,action|lr,TW:Venezuela,TW:Iran,0.6605,0.6064,0.7196,148,523
T1_frozen_vs_reference,action|lr,TW:Venezuela,TW:Venezuela,0.7257,0.6848,0.7669,223,523
T1_frozen_vs_reference,action|lr,TW:Venezuela,TW:China,0.4948,0.4659,0.5228,1030,523
T1_frozen_vs_reference,action|lr,TW:Venezuela,TW:GRU,0.9328,0.8384,0.9899,30,523
T1_frozen_vs_reference,action|lr,TW:Venezuela,RD:IRA|matched,0.9439,0.9178,0.9674,96,168
T1_frozen_vs_reference,action|lr,TW:Venezuela,RD:IRA|unmatched,0.9734,0.9602,0.9852,96,643
T1_frozen_vs_reference,action|lr,TW:China,TW:IRA,0.7531,0.7298,0.7783,875,523
T1_frozen_vs_reference,action|lr,TW:China,TW:Iran,0.557,0.4986,0.6202,148,523
T1_frozen_vs_reference,action|lr,TW:China,TW:Venezuela,0.5934,0.5474,0.6388,223,523
T1_frozen_vs_reference,action|lr,TW:China,TW:China,0.6746,0.6474,0.7007,1030,523
T1_frozen_vs_reference,action|lr,TW:China,TW:GRU,0.9407,0.8846,0.977,30,523
T1_frozen_vs_reference,action|lr,TW:China,RD:IRA|matched,0.0561,0.0322,0.0846,96,168
T1_frozen_vs_reference,action|lr,TW:China,RD:IRA|unmatched,0.0266,0.0149,0.0413,96,643
T1_frozen_vs_reference,action|gbm,TW:IRA,TW:IRA,0.9561,0.946,0.9657,875,523
T1_frozen_vs_reference,action|gbm,TW:IRA,TW:Iran,0.7206,0.6634,0.7648,148,523
T1_frozen_vs_reference,action|gbm,TW:IRA,TW:Venezuela,0.7647,0.7262,0.8069,223,523
T1_frozen_vs_reference,action|gbm,TW:IRA,TW:China,0.5718,0.544,0.6008,1030,523
T1_frozen_vs_reference,action|gbm,TW:IRA,TW:GRU,0.9492,0.9029,0.9824,30,523
T1_frozen_vs_reference,action|gbm,TW:IRA,RD:IRA|matched,0.8398,0.792,0.8895,96,168
T1_frozen_vs_reference,action|gbm,TW:IRA,RD:IRA|unmatched,0.8888,0.8496,0.922,96,643
T1_frozen_vs_reference,action|gbm,TW:Iran,TW:IRA,0.907,0.8919,0.9205,875,523
T1_frozen_vs_reference,action|gbm,TW:Iran,TW:Iran,0.8037,0.7631,0.8444,148,523
T1_frozen_vs_reference,action|gbm,TW:Iran,TW:Venezuela,0.7374,0.6979,0.7756,223,523
T1_frozen_vs_reference,action|gbm,TW:Iran,TW:China,0.638,0.6106,0.6643,1030,523
T1_frozen_vs_reference,action|gbm,TW:Iran,TW:GRU,0.8773,0.7925,0.948,30,523
T1_frozen_vs_reference,action|gbm,TW:Iran,RD:IRA|matched,0.4525,0.3819,0.5269,96,168
